Altium Designer Pick and Place Locations
E:\4_Bioreactor\Bioreactor v3\Project Outputs\Pick Place\Pick Place for Bioreactor v3.csv

========================================================================================================================
File Design Information:

Date:       04/07/24
Time:       17:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"IC4","TMC2208-LA-T","BottomLayer","QFN50P500X500X90-29N-D","944.967","3147.517","270","C115944"
"PS1","LD1117-5.0","BottomLayer","SOT230P700X190-4N","1131.278","458.182","180","C347230, Fixed voltage regulator,
12V to 5V"
"S1","K2-1102SP-C4SC-04","TopLayer","K2-1102SP-C4SC-04","3063.628","401.323","0","Switch, C127509"
"IC1","RASPBERRY_PI_PICO_W, C7203003","BottomLayer","RASPBERRYPIPICOW","1045.276","1363.061","180","Raspberry Pie"
"Driver6","FAN3224TMX","BottomLayer","SOIC127P599X175-8N","8044.953","1079.692","90","Gate driver,
two channels,
low side,C457631"
"VR3","TC33X-2-203E","BottomLayer","TC33X2503E","534.282","3061.701","270","Variable Resistor,C720648"
"VR2","TC33X-2-203E","BottomLayer","TC33X2503E","7937.979","2817.270","270","Variable Resistor,C720648"
"S7","C54949, DSIC02LSGET","TopLayer","SOP254P930X445-4N","1143.095","2564.089","0","2 channel Switch"
"S6","C54949, DSIC02LSGET","TopLayer","SOP254P930X445-4N","8664.041","2390.040","0","2 channel Switch"
"R32","Chip Resistors, 20k","BottomLayer","RESC1608X55N","574.054","2888.502","270","C4184"
"R31","Chip Resistors, 20k","BottomLayer","RESC1608X55N","7975.287","2654.351","270","C4184"
"R30","Chip Resistors, 20k","BottomLayer","RESC1608X55N","884.967","2897.517","270","C4184"
"R29","Chip Resistors, 20k","BottomLayer","RESC1608X55N","8360.258","2679.205","270","C4184"
"R24","Chip Resistors, 20k","BottomLayer","RESC1608X55N","1294.658","3105.224","270","C4184"
"R23","Chip Resistors, 20k","BottomLayer","RESC1608X55N","8861.504","2984.824","90","C4184"
"J11","B4B-PH-K-S_LF__SN_, C131334","BottomLayer","SHDR4W50P0X200_1X4_990X450X600P","980.937","3462.082","0","Connector,C131334"
"J10","B4B-PH-K-S_LF__SN_, C131334","BottomLayer","SHDR4W50P0X200_1X4_990X450X600P","8456.295","3228.000","0","Connector,C131334"
"IC3","TMC2208-LA-T","BottomLayer","QFN50P500X500X90-29N-D","8420.000","2915.000","270","C115944"
"C32","100nF,C307331","BottomLayer","RESC1005X55N","767.084","3318.377","180","Chip Capacitor, 0402, CL05B104KB54PNC"
"C42","22nF,50V, C1729","BottomLayer","C0805","1192.324","3113.415","90","Chip Capacitor"
"C41","22nF,50V, C1729","BottomLayer","C0805","8760.000","2875.000","90","Chip Capacitor"
"C40","100nF,C49678","BottomLayer","C0805","774.967","2962.517","90","Chip Capacitor"
"C39","4.7uF, C162420","BottomLayer","C0805","1114.967","2977.517","180","Chip Capacitor, 4.7 µF,50V"
"C38","100nF,C49678","BottomLayer","C0805","8250.000","2740.000","90","Chip Capacitor"
"C37","4.7uF, C162420","BottomLayer","C0805","8522.096","2696.445","90","Chip Capacitor, 4.7 µF,50V"
"C36","100nF,C49678","BottomLayer","C0805","1386.070","3262.886","270","Chip Capacitor"
"C35","100nF,C49678","BottomLayer","C0805","8632.930","2743.406","90","Chip Capacitor"
"C34","C15850","BottomLayer","C0805","1240.644","3290.653","0","Chip Capacitor, 10uF, 25V, 0805, Thickness 1.45 mm"
"C33","C15850","BottomLayer","C0805","679.140","3280.181","90","Chip Capacitor, 10uF, 25V, 0805, Thickness 1.45 mm"
"C31","100nF,C307331","BottomLayer","RESC1005X55N","1240.644","3226.676","0","Chip Capacitor, 0402, CL05B104KB54PNC"
"C28","100nF,C307331","BottomLayer","RESC1005X55N","8703.702","2995.165","0","Chip Capacitor, 0402, CL05B104KB54PNC"
"C30","C15850","BottomLayer","C0805","8703.702","3059.142","0","Chip Capacitor, 10uF, 25V, 0805, Thickness 1.45 mm"
"C29","C15850","BottomLayer","C0805","8162.820","3050.384","90","Chip Capacitor, 10uF, 25V, 0805, Thickness 1.45 mm"
"C27","100nF,C307331","BottomLayer","RESC1005X55N","8249.269","3086.066","180","Chip Capacitor, 0402, CL05B104KB54PNC"
"VR1","TC33X-2-203E","BottomLayer","TC33X2503E","4325.906","2410.040","270","Variable Resistor,C720648"
